CIFAR-10 Benchmark — Vellum AWD vs Adam vs AdamW
======================================================

Adam |    1   1.3980   48.81%   1.2919   53.17%   —       —     839.0s
Adam |    2   1.0222   63.85%   1.0593   63.51%   —       —     557.3s
Adam |    3   0.8609   69.72%   0.9998   66.96%   —       —     595.9s
Adam |    4   0.7498   73.93%   0.7417   74.27%   —       —     537.4s
Adam |    5   0.6737   76.78%   0.6691   77.19%   —       —     523.7s
Adam |    6   0.6121   78.95%   0.6799   76.73%   —       —     495.2s
Adam |    7   0.5632   80.68%   0.6629   78.57%   —       —     516.5s
Adam |    8   0.5268   81.75%   0.5472   81.27%   —       —     494.7s
Adam |    9   0.4814   83.53%   0.5523   81.60%   —       —     507.0s
Adam |   10   0.4524   84.40%   0.5237   82.69%   —       —     534.4s
Adam |   11   0.4189   85.75%   0.4815   84.29%   —       —     684.7s
Adam |   12   0.3960   86.44%   0.5025   83.74%   —       —     583.8s
Adam |   13   0.3711   87.15%   0.4321   85.84%   —       —     506.3s
Adam |   14   0.3456   88.15%   0.4367   85.62%   —       —     481.0s
Adam |   15   0.3280   88.65%   0.4314   86.23%   —       —     506.9s
Adam |   16   0.3104   89.28%   0.4013   86.93%   —       —     500.6s
Adam |   17   0.2907   90.08%   0.3971   87.31%   —       —     495.3s
Adam |   18   0.2754   90.61%   0.3848   87.57%   —       —     544.3s
Adam |   19   0.2628   90.92%   0.3777   88.04%   —       —     566.8s
Adam |   20   0.2467   91.33%   0.3802   88.02%   —       —     518.8s
Adam |   21   0.2331   91.97%   0.3680   88.49%   —       —     490.1s
Adam |   22   0.2207   92.34%   0.3626   88.64%   —       —     533.0s
Adam |   23   0.2089   92.74%   0.3570   89.01%   —       —     541.5s
Adam |   24   0.2024   92.97%   0.3575   88.96%   —       —     496.2s
Adam |   25   0.1931   93.32%   0.3622   88.88%   —       —     498.9s
Adam |   26   0.1846   93.70%   0.3513   89.10%   —       —     512.0s
Adam |   27   0.1815   93.74%   0.3479   89.31%   —       —     568.7s
Adam |   28   0.1726   94.09%   0.3467   89.35%   —       —     493.7s
Adam |   29   0.1744   94.05%   0.3476   89.43%   —       —     504.0s
Adam |   30   0.1730   94.04%   0.3489   89.18%   —       —     511.1s
AdamW |    1   1.4185   47.69%   1.1849   57.82%   —       —     502.6s
AdamW |    2   1.0353   63.17%   1.0899   62.79%   —       —     499.9s
AdamW |    3   0.8734   69.25%   0.8943   70.01%   —       —     505.7s
AdamW |    4   0.7583   73.45%   0.8320   72.53%   —       —     493.3s
AdamW |    5   0.6801   76.50%   0.7066   76.45%   —       —     591.5s
AdamW |    6   0.6163   78.79%   0.6083   78.91%   —       —     511.2s
AdamW |    7   0.5648   80.48%   0.6210   79.19%   —       —     547.5s
AdamW |    8   0.5270   82.03%   0.5833   80.08%   —       —     515.7s
AdamW |    9   0.4875   83.26%   0.5008   82.96%   —       —     488.2s
AdamW |   10   0.4573   84.23%   0.5277   82.33%   —       —     491.5s
AdamW |   11   0.4289   85.44%   0.5189   83.24%   —       —     498.8s
AdamW |   12   0.4015   86.22%   0.4556   84.88%   —       —     496.0s
AdamW |   13   0.3783   87.14%   0.5158   83.82%   —       —     593.5s
AdamW |   14   0.3510   87.90%   0.4467   85.39%   —       —     522.4s
AdamW |   15   0.3356   88.51%   0.4550   84.90%   —       —     501.2s
